,COUNTRY,EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE
4423,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4424,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4425,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4426,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4427,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4428,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4429,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4430,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4431,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4432,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4433,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4434,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4435,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4436,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4437,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4438,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4439,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4440,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4441,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4442,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4443,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4444,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4455,Azerbaijan,Violence against civilians,40.0304,46.9274
4456,Azerbaijan,Violence against civilians,40.0304,46.9274
4457,Azerbaijan,Violence against civilians,40.0304,46.9274
4458,Azerbaijan,Violence against civilians,40.0304,46.9274
4599,Azerbaijan,Explosions/Remote violence,39.999,47.4139
4600,Azerbaijan,Explosions/Remote violence,39.999,47.4139
4601,Azerbaijan,Explosions/Remote violence,39.999,47.4139
4602,Azerbaijan,Explosions/Remote violence,39.999,47.4139
4603,Azerbaijan,Explosions/Remote violence,39.999,47.4139
4604,Azerbaijan,Explosions/Remote violence,39.999,47.4139
4605,Azerbaijan,Explosions/Remote violence,39.999,47.4139
4608,Azerbaijan,Violence against civilians,39.999,47.4139
4653,Azerbaijan,Explosions/Remote violence,41.2129,45.5619
4654,Azerbaijan,Explosions/Remote violence,41.2129,45.5619
4657,Azerbaijan,Violence against civilians,41.2129,45.5619
4658,Azerbaijan,Violence against civilians,41.2129,45.5619
4659,Azerbaijan,Violence against civilians,38.5148,48.7024
4893,Azerbaijan,Riots,40.137,49.4229
4894,Azerbaijan,Riots,40.137,49.4229
4895,Azerbaijan,Riots,40.137,49.4229
4896,Azerbaijan,Riots,40.137,49.4229
4913,Azerbaijan,Violence against civilians,40.137,49.4229
4914,Azerbaijan,Violence against civilians,40.137,49.4229
4915,Azerbaijan,Violence against civilians,40.137,49.4229
4916,Azerbaijan,Violence against civilians,40.137,49.4229
4917,Azerbaijan,Violence against civilians,40.137,49.4229
4918,Azerbaijan,Violence against civilians,40.137,49.4229
4919,Azerbaijan,Violence against civilians,40.137,49.4229
4920,Azerbaijan,Violence against civilians,40.137,49.4229
4921,Azerbaijan,Violence against civilians,40.137,49.4229
4922,Azerbaijan,Violence against civilians,40.137,49.4229
4923,Azerbaijan,Violence against civilians,40.137,49.4229
4924,Azerbaijan,Violence against civilians,40.137,49.4229
4925,Azerbaijan,Violence against civilians,40.137,49.4229
4927,Azerbaijan,Explosions/Remote violence,40.3644,47.2092
4928,Azerbaijan,Explosions/Remote violence,40.3644,47.2092
4929,Azerbaijan,Explosions/Remote violence,40.3644,47.2092
4930,Azerbaijan,Explosions/Remote violence,40.3644,47.2092
4931,Azerbaijan,Explosions/Remote violence,40.3644,47.2092
4936,Azerbaijan,Explosions/Remote violence,39.8539,47.6519
4938,Azerbaijan,Riots,39.5451,48.469
4957,Azerbaijan,Explosions/Remote violence,40.4817,46.0089
