WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE
02/05/2022,Mexico,Baja California,Battles,Armed clash,1,2,76646.0,Political violence
02/19/2022,Mexico,Baja California,Battles,Armed clash,1,0,54130.0,Political violence
03/12/2022,Mexico,Baja California,Battles,Armed clash,2,3,60316.0,Political violence
03/19/2022,Mexico,Baja California,Battles,Armed clash,2,1,68107.0,Political violence
04/09/2022,Mexico,Baja California,Battles,Armed clash,1,1,27856.0,Political violence
04/16/2022,Mexico,Baja California,Battles,Armed clash,1,1,54130.0,Political violence
05/07/2022,Mexico,Baja California,Battles,Armed clash,1,0,54130.0,Political violence
05/14/2022,Mexico,Baja California,Battles,Armed clash,1,1,1642.0,Political violence
05/21/2022,Mexico,Baja California,Battles,Armed clash,1,1,22224.0,Political violence
06/04/2022,Mexico,Baja California,Battles,Armed clash,3,1,54130.0,Political violence
06/11/2022,Mexico,Baja California,Battles,Armed clash,3,2,119924.0,Political violence
06/18/2022,Mexico,Baja California,Battles,Armed clash,1,1,54130.0,Political violence
07/02/2022,Mexico,Baja California,Battles,Armed clash,5,2,285826.0,Political violence
07/09/2022,Mexico,Baja California,Battles,Armed clash,2,4,130776.0,Political violence
07/16/2022,Mexico,Baja California,Battles,Armed clash,2,2,165902.0,Political violence
07/23/2022,Mexico,Baja California,Battles,Armed clash,1,1,65794.0,Political violence
07/30/2022,Mexico,Baja California,Battles,Armed clash,1,0,65794.0,Political violence
08/06/2022,Mexico,Baja California,Battles,Armed clash,1,0,248661.0,Political violence
08/27/2022,Mexico,Baja California,Battles,Armed clash,2,1,54130.0,Political violence
09/10/2022,Mexico,Baja California,Battles,Armed clash,1,1,65794.0,Political violence
09/17/2022,Mexico,Baja California,Battles,Armed clash,1,2,27856.0,Political violence
10/29/2022,Mexico,Baja California,Battles,Armed clash,1,0,248661.0,Political violence
11/05/2022,Mexico,Baja California,Battles,Armed clash,1,0,65794.0,Political violence
11/19/2022,Mexico,Baja California,Battles,Armed clash,2,1,302791.0,Political violence
11/26/2022,Mexico,Baja California,Battles,Armed clash,1,1,65794.0,Political violence
12/03/2022,Mexico,Baja California,Battles,Armed clash,1,3,7030.0,Political violence
12/10/2022,Mexico,Baja California,Battles,Armed clash,1,0,165902.0,Political violence
01/14/2023,Mexico,Baja California,Battles,Armed clash,5,3,148425.0,Political violence
01/21/2023,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
01/28/2023,Mexico,Baja California,Battles,Armed clash,1,1,54534.0,Political violence
02/04/2023,Mexico,Baja California,Battles,Armed clash,1,1,2927.0,Political violence
02/11/2023,Mexico,Baja California,Battles,Armed clash,2,0,54534.0,Political violence
03/25/2023,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
04/22/2023,Mexico,Baja California,Battles,Armed clash,1,1,54534.0,Political violence
04/29/2023,Mexico,Baja California,Battles,Armed clash,1,0,250516.0,Political violence
05/06/2023,Mexico,Baja California,Battles,Armed clash,2,1,305050.0,Political violence
05/13/2023,Mexico,Baja California,Battles,Armed clash,2,0,131752.0,Political violence
05/20/2023,Mexico,Baja California,Battles,Armed clash,2,12,251789.0,Political violence
06/10/2023,Mexico,Baja California,Battles,Armed clash,1,7,54534.0,Political violence
06/24/2023,Mexico,Baja California,Battles,Armed clash,1,1,66284.0,Political violence
07/01/2023,Mexico,Baja California,Battles,Armed clash,1,2,66284.0,Political violence
07/08/2023,Mexico,Baja California,Battles,Armed clash,2,3,54753.0,Political violence
07/15/2023,Mexico,Baja California,Battles,Armed clash,3,4,69211.0,Political violence
07/29/2023,Mexico,Baja California,Battles,Armed clash,1,1,66284.0,Political violence
09/02/2023,Mexico,Baja California,Battles,Armed clash,5,6,305050.0,Political violence
09/09/2023,Mexico,Baja California,Battles,Armed clash,1,0,4080.0,Political violence
10/07/2023,Mexico,Baja California,Battles,Armed clash,3,1,55679.0,Political violence
10/14/2023,Mexico,Baja California,Battles,Armed clash,1,2,54534.0,Political violence
10/28/2023,Mexico,Baja California,Battles,Armed clash,1,0,66284.0,Political violence
11/04/2023,Mexico,Baja California,Battles,Armed clash,1,1,54534.0,Political violence
11/11/2023,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
11/18/2023,Mexico,Baja California,Battles,Armed clash,2,1,305050.0,Political violence
11/25/2023,Mexico,Baja California,Battles,Armed clash,2,1,54534.0,Political violence
12/02/2023,Mexico,Baja California,Battles,Armed clash,1,4,66284.0,Political violence
12/09/2023,Mexico,Baja California,Battles,Armed clash,3,2,54534.0,Political violence
12/16/2023,Mexico,Baja California,Battles,Armed clash,2,0,131752.0,Political violence
12/30/2023,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
01/06/2024,Mexico,Baja California,Battles,Armed clash,1,1,54534.0,Political violence
01/13/2024,Mexico,Baja California,Battles,Armed clash,2,2,54534.0,Political violence
01/27/2024,Mexico,Baja California,Battles,Armed clash,3,3,120818.0,Political violence
02/03/2024,Mexico,Baja California,Battles,Armed clash,1,1,66284.0,Political violence
02/10/2024,Mexico,Baja California,Battles,Armed clash,1,2,1051.0,Political violence
02/17/2024,Mexico,Baja California,Battles,Armed clash,1,0,66284.0,Political violence
02/24/2024,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
03/09/2024,Mexico,Baja California,Battles,Armed clash,1,1,54534.0,Political violence
03/16/2024,Mexico,Baja California,Battles,Armed clash,1,1,66284.0,Political violence
03/23/2024,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
03/30/2024,Mexico,Baja California,Battles,Armed clash,1,0,250516.0,Political violence
04/13/2024,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
04/20/2024,Mexico,Baja California,Battles,Armed clash,1,0,1706.0,Political violence
04/27/2024,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
05/04/2024,Mexico,Baja California,Battles,Armed clash,1,1,250516.0,Political violence
05/11/2024,Mexico,Baja California,Battles,Armed clash,2,1,305050.0,Political violence
06/01/2024,Mexico,Baja California,Battles,Armed clash,5,2,54534.0,Political violence
06/08/2024,Mexico,Baja California,Battles,Armed clash,3,2,69702.0,Political violence
06/22/2024,Mexico,Baja California,Battles,Armed clash,1,0,1706.0,Political violence
06/29/2024,Mexico,Baja California,Battles,Armed clash,1,2,54534.0,Political violence
07/06/2024,Mexico,Baja California,Battles,Armed clash,1,1,54534.0,Political violence
07/13/2024,Mexico,Baja California,Battles,Armed clash,1,2,250516.0,Political violence
07/20/2024,Mexico,Baja California,Battles,Armed clash,1,2,250516.0,Political violence
07/27/2024,Mexico,Baja California,Battles,Armed clash,1,1,54534.0,Political violence
08/03/2024,Mexico,Baja California,Battles,Armed clash,2,3,417656.0,Political violence
08/10/2024,Mexico,Baja California,Battles,Armed clash,2,3,233424.0,Political violence
08/17/2024,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
08/24/2024,Mexico,Baja California,Battles,Armed clash,1,0,54534.0,Political violence
08/31/2024,Mexico,Baja California,Battles,Armed clash,2,1,254544.0,Political violence
09/14/2024,Mexico,Baja California,Battles,Armed clash,2,3,221674.0,Political violence
