WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
07/24/2021,Russia,406075.0,2
07/24/2021,Ukraine,330275.0,0
07/25/2020,Russia,217090.0,2
07/25/2020,Ukraine,324423.0,0
07/26/2025,Russia,1870863.0,16
07/26/2025,Ukraine,5779727.0,1090
07/27/2024,Russia,1307829.0,4
07/27/2024,Ukraine,4556124.0,1080
07/29/2023,Russia,703529.0,0
07/29/2023,Ukraine,3700105.0,755
07/30/2022,Russia,299189.0,0
07/30/2022,Ukraine,5612381.0,642
07/31/2021,Russia,122516.0,1
07/31/2021,Ukraine,200279.0,0
08/01/2020,Russia,59144.0,1
08/01/2020,Ukraine,184930.0,0
08/02/2025,Russia,2896548.0,17
08/02/2025,Ukraine,5983078.0,1189
08/03/2024,Russia,1771490.0,87
08/03/2024,Ukraine,5465946.0,962
08/05/2023,Russia,241269.0,3
08/05/2023,Ukraine,3053302.0,962
08/06/2022,Russia,186619.0,0
08/06/2022,Ukraine,5231535.0,730
08/07/2021,Russia,419930.0,0
08/07/2021,Ukraine,456091.0,3
08/08/2020,Russia,10133.0,1
08/08/2020,Ukraine,236854.0,1
08/09/2025,Russia,3420112.0,13
08/09/2025,Ukraine,4792247.0,1573
08/10/2024,Russia,1535019.0,165
08/10/2024,Ukraine,4334943.0,1049
08/12/2023,Russia,977325.0,7
08/12/2023,Ukraine,4162778.0,1040
08/13/2022,Russia,537862.0,1
08/13/2022,Ukraine,5642930.0,784
08/14/2021,Russia,288551.0,0
08/14/2021,Ukraine,574674.0,4
08/15/2020,Russia,230570.0,2
08/15/2020,Ukraine,238917.0,10
08/16/2025,Russia,2114262.0,14
08/16/2025,Ukraine,7036615.0,1212
08/17/2024,Russia,783592.0,233
08/17/2024,Ukraine,3847505.0,1449
08/19/2023,Russia,986873.0,10
08/19/2023,Ukraine,3854189.0,853
08/20/2022,Russia,269499.0,2
08/20/2022,Ukraine,7262458.0,1084
08/21/2021,Russia,126152.0,0
08/21/2021,Ukraine,574187.0,4
08/22/2020,Russia,87943.0,4
08/22/2020,Ukraine,408561.0,2
08/23/2025,Russia,3119184.0,7
08/23/2025,Ukraine,6821905.0,1077
08/24/2024,Russia,2467500.0,168
08/24/2024,Ukraine,6499671.0,1056
08/26/2023,Russia,1025840.0,6
08/26/2023,Ukraine,3948614.0,821
08/27/2022,Russia,166640.0,0
08/27/2022,Ukraine,6280187.0,920
08/28/2021,Russia,88252.0,0
08/28/2021,Ukraine,467980.0,2
08/29/2020,Russia,26837.0,0
08/29/2020,Ukraine,507489.0,0
08/30/2025,Russia,2131759.0,4
08/30/2025,Ukraine,7474794.0,1107
08/31/2024,Russia,1945178.0,117
08/31/2024,Ukraine,7372369.0,1249
09/02/2023,Russia,996643.0,3
09/02/2023,Ukraine,4061861.0,835
09/03/2022,Russia,204585.0,0
09/03/2022,Ukraine,5845595.0,970
09/04/2021,Russia,115667.0,4
09/04/2021,Ukraine,316312.0,0
09/05/2020,Russia,19649.0,0
09/05/2020,Ukraine,238339.0,2
09/06/2025,Russia,2718588.0,19
09/06/2025,Ukraine,8165985.0,1107
09/07/2024,Russia,1800189.0,247
09/07/2024,Ukraine,4620925.0,1004
09/09/2023,Russia,772066.0,2
09/09/2023,Ukraine,4064022.0,795
09/10/2022,Russia,224978.0,2
09/10/2022,Ukraine,7576511.0,880
09/11/2021,Russia,147468.0,0
09/11/2021,Ukraine,329497.0,4
09/12/2020,Russia,105513.0,1
09/12/2020,Ukraine,291004.0,2
09/13/2025,Russia,2923447.0,21
09/13/2025,Ukraine,7230209.0,1134
09/14/2024,Russia,1637460.0,173
09/14/2024,Ukraine,6131128.0,1350
09/16/2023,Russia,914251.0,6
09/16/2023,Ukraine,4859351.0,785
09/17/2022,Russia,73396.0,2
09/17/2022,Ukraine,6818891.0,903
09/18/2021,Russia,492733.0,0
09/18/2021,Ukraine,661481.0,1
09/19/2020,Russia,8035.0,0
09/19/2020,Ukraine,269283.0,0
09/20/2025,Russia,4632986.0,15
09/20/2025,Ukraine,6962771.0,1207
09/21/2024,Russia,1618051.0,233
09/21/2024,Ukraine,5979391.0,1583
09/23/2023,Russia,480864.0,0
09/23/2023,Ukraine,4743511.0,441
09/24/2022,Russia,548439.0,15
09/24/2022,Ukraine,7343301.0,787
09/25/2021,Russia,227219.0,0
09/25/2021,Ukraine,487236.0,4
09/26/2020,Russia,64911.0,0
09/26/2020,Ukraine,397539.0,1
09/27/2025,Russia,1962111.0,12
09/27/2025,Ukraine,7042653.0,1040
09/28/2024,Russia,2012027.0,260
09/28/2024,Ukraine,6013701.0,1485
09/30/2023,Russia,896986.0,1
09/30/2023,Ukraine,3481363.0,580
10/01/2022,Russia,101236.0,4
10/01/2022,Ukraine,6973272.0,1450
10/02/2021,Russia,182260.0,1
10/02/2021,Ukraine,227461.0,0
10/03/2020,Ukraine,597857.0,1
10/04/2025,Russia,2237776.0,5
10/04/2025,Ukraine,7485612.0,1353
10/05/2024,Russia,2120540.0,195
10/05/2024,Ukraine,5428405.0,1576
10/07/2023,Russia,479683.0,8
10/07/2023,Ukraine,4500024.0,1095
10/08/2022,Russia,295198.0,4
10/08/2022,Ukraine,9501332.0,1406
10/09/2021,Russia,325919.0,0
10/09/2021,Ukraine,331831.0,0
10/10/2020,Russia,795584.0,14
10/10/2020,Ukraine,612706.0,1
10/11/2025,Russia,2279513.0,12
10/11/2025,Ukraine,6737906.0,1141
10/12/2024,Russia,659360.0,251
