WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
09/25/2021,Israel,60773.0,0
09/25/2021,Palestine,676840.0,8
09/26/2020,Israel,13561.0,0
09/26/2020,Palestine,397498.0,0
09/27/2025,Israel,183617.0,0
09/27/2025,Palestine,2788191.0,486
09/28/2024,Israel,1157900.0,8
09/28/2024,Palestine,3161118.0,337
09/30/2023,Israel,56095.0,1
09/30/2023,Palestine,1067290.0,4
10/01/2022,Israel,82789.0,0
10/01/2022,Palestine,786063.0,5
10/02/2021,Israel,11950.0,0
10/02/2021,Palestine,452226.0,0
10/03/2020,Israel,299625.0,0
10/03/2020,Palestine,896775.0,2
10/04/2025,Israel,141890.0,0
10/04/2025,Palestine,3022477.0,125
10/05/2024,Israel,1288067.0,8
10/05/2024,Palestine,3355701.0,641
10/07/2023,Israel,2351753.0,1574
10/07/2023,Palestine,5127321.0,2193
10/08/2022,Israel,30956.0,0
10/08/2022,Palestine,1678417.0,8
10/09/2021,Palestine,408198.0,1
10/10/2020,Israel,139707.0,0
10/10/2020,Palestine,580519.0,0
10/11/2025,Israel,109373.0,1
10/11/2025,Palestine,1864937.0,87
10/12/2024,Israel,1096805.0,8
10/12/2024,Palestine,3248456.0,646
10/14/2023,Israel,1624958.0,7
10/14/2023,Palestine,4251409.0,2288
10/15/2022,Israel,11489.0,0
10/15/2022,Palestine,1451808.0,3
10/16/2021,Israel,136762.0,0
10/16/2021,Palestine,558604.0,0
10/17/2020,Israel,154217.0,0
10/17/2020,Palestine,460785.0,0
10/18/2025,Israel,186362.0,0
10/18/2025,Palestine,1648638.0,70
10/19/2024,Israel,1012377.0,4
10/19/2024,Palestine,3422443.0,833
10/21/2023,Israel,1094668.0,2
10/21/2023,Palestine,4020344.0,3054
10/22/2022,Israel,74562.0,0
10/22/2022,Palestine,1294449.0,11
10/23/2021,Israel,23359.0,0
10/23/2021,Palestine,465516.0,0
10/24/2020,Israel,187888.0,0
10/24/2020,Palestine,398346.0,2
10/26/2024,Israel,862728.0,10
10/26/2024,Palestine,3217221.0,762
10/28/2023,Israel,1327075.0,2
10/28/2023,Palestine,4369626.0,2236
10/29/2022,Israel,95986.0,0
10/29/2022,Palestine,1292719.0,8
10/30/2021,Israel,14177.0,0
10/30/2021,Palestine,636420.0,1
10/31/2020,Israel,43578.0,0
10/31/2020,Palestine,410254.0,1
11/02/2024,Israel,1186182.0,2
11/02/2024,Palestine,3317360.0,595
11/04/2023,Israel,955802.0,3
11/04/2023,Palestine,3987369.0,1636
11/05/2022,Israel,148956.0,0
11/05/2022,Palestine,912973.0,4
11/06/2021,Israel,13897.0,0
11/06/2021,Palestine,802019.0,0
11/07/2020,Israel,153664.0,0
11/07/2020,Palestine,630568.0,0
11/09/2024,Israel,1178762.0,2
11/09/2024,Palestine,2796822.0,473
11/11/2023,Israel,847411.0,1
11/11/2023,Palestine,4472832.0,1203
11/12/2022,Israel,100882.0,0
11/12/2022,Palestine,813171.0,5
11/13/2021,Israel,134573.0,0
11/13/2021,Palestine,526745.0,2
11/14/2020,Israel,294360.0,0
11/14/2020,Palestine,672502.0,0
11/16/2024,Israel,852993.0,2
11/16/2024,Palestine,3121744.0,548
11/18/2023,Israel,366691.0,1
11/18/2023,Palestine,4290301.0,2817
11/19/2022,Israel,160859.0,2
11/19/2022,Palestine,736310.0,3
11/20/2021,Israel,168836.0,0
11/20/2021,Palestine,763906.0,2
11/21/2020,Israel,100982.0,0
11/21/2020,Palestine,716642.0,1
11/23/2024,Israel,663693.0,0
11/23/2024,Palestine,3094900.0,331
11/25/2023,Israel,165873.0,6
11/25/2023,Palestine,3202909.0,218
11/26/2022,Israel,11936.0,0
11/26/2022,Palestine,845992.0,9
11/27/2021,Israel,89628.0,1
11/27/2021,Palestine,318140.0,0
11/28/2020,Israel,118642.0,0
11/28/2020,Palestine,569531.0,1
11/30/2024,Israel,31184.0,0
11/30/2024,Palestine,2681257.0,387
12/02/2023,Israel,469535.0,1
12/02/2023,Palestine,4170930.0,2459
12/03/2022,Israel,40513.0,0
12/03/2022,Palestine,956870.0,6
12/04/2021,Israel,38518.0,0
12/04/2021,Palestine,452000.0,3
12/05/2020,Israel,25570.0,0
12/05/2020,Palestine,461343.0,0
12/07/2024,Israel,139289.0,0
12/07/2024,Palestine,2710254.0,338
12/09/2023,Israel,650183.0,0
12/09/2023,Palestine,4571637.0,1554
12/10/2022,Israel,110072.0,0
12/10/2022,Palestine,682914.0,2
12/11/2021,Israel,63049.0,0
12/11/2021,Palestine,780858.0,2
12/12/2020,Palestine,581388.0,1
12/14/2024,Israel,125086.0,0
12/14/2024,Palestine,2961631.0,393
12/16/2023,Israel,935018.0,3
12/16/2023,Palestine,4358138.0,1115
12/17/2022,Israel,61950.0,2
12/17/2022,Palestine,965508.0,3
12/18/2021,Israel,30360.0,0
12/18/2021,Palestine,808631.0,2
12/19/2020,Israel,39121.0,0
12/19/2020,Palestine,362282.0,2
12/21/2024,Israel,298339.0,1
12/21/2024,Palestine,2885155.0,435
12/23/2023,Israel,106248.0,0
12/23/2023,Palestine,3881775.0,1428
12/24/2022,Palestine,698767.0,0
12/25/2021,Israel,67411.0,0
12/25/2021,Palestine,808180.0,1
12/26/2020,Israel,98099.0,0
12/26/2020,Palestine,527112.0,1
12/28/2019,Palestine,216057.0,0
12/28/2024,Israel,65689.0,0
12/28/2024,Palestine,2870446.0,342
12/30/2023,Israel,295371.0,0
12/30/2023,Palestine,3841772.0,1059
12/31/2022,Israel,26855.0,0
12/31/2022,Palestine,966462.0,5
