WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
06/17/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,9840,Demonstrations,485,54.498,-115.0035
06/24/2023,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30309,Demonstrations,485,54.498,-115.0035
07/01/2023,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22269,Demonstrations,485,54.498,-115.0035
07/08/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
07/22/2023,North America,Canada,Alberta,Protests,Peaceful protest,1,0,355,Demonstrations,485,54.498,-115.0035
08/05/2023,North America,Canada,Alberta,Protests,Peaceful protest,1,0,8040,Demonstrations,485,54.498,-115.0035
08/19/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
08/26/2023,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30309,Demonstrations,485,54.498,-115.0035
09/09/2023,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22269,Demonstrations,485,54.498,-115.0035
09/16/2023,North America,Canada,Alberta,Protests,Peaceful protest,11,0,51398,Demonstrations,485,54.498,-115.0035
09/23/2023,North America,Canada,Alberta,Protests,Peaceful protest,5,0,24069,Demonstrations,485,54.498,-115.0035
09/30/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
10/07/2023,North America,Canada,Alberta,Protests,Peaceful protest,5,0,32109,Demonstrations,485,54.498,-115.0035
10/14/2023,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30309,Demonstrations,485,54.498,-115.0035
10/21/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,22652,Demonstrations,485,54.498,-115.0035
10/28/2023,North America,Canada,Alberta,Protests,Peaceful protest,6,0,30309,Demonstrations,485,54.498,-115.0035
11/04/2023,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30309,Demonstrations,485,54.498,-115.0035
11/11/2023,North America,Canada,Alberta,Protests,Peaceful protest,3,0,27898,Demonstrations,485,54.498,-115.0035
11/18/2023,North America,Canada,Alberta,Protests,Peaceful protest,5,0,30309,Demonstrations,485,54.498,-115.0035
11/25/2023,North America,Canada,Alberta,Protests,Peaceful protest,6,0,30310,Demonstrations,485,54.498,-115.0035
12/02/2023,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22269,Demonstrations,485,54.498,-115.0035
12/09/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
12/16/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,22269,Demonstrations,485,54.498,-115.0035
12/30/2023,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30309,Demonstrations,485,54.498,-115.0035
01/06/2024,North America,Canada,Alberta,Protests,Peaceful protest,3,0,37814,Demonstrations,485,54.498,-115.0035
01/13/2024,North America,Canada,Alberta,Protests,Peaceful protest,1,0,8040,Demonstrations,485,54.498,-115.0035
01/20/2024,North America,Canada,Alberta,Protests,Peaceful protest,1,0,8040,Demonstrations,485,54.498,-115.0035
01/27/2024,North America,Canada,Alberta,Protests,Peaceful protest,2,0,24069,Demonstrations,485,54.498,-115.0035
02/03/2024,North America,Canada,Alberta,Protests,Peaceful protest,8,0,40627,Demonstrations,485,54.498,-115.0035
02/10/2024,North America,Canada,Alberta,Protests,Peaceful protest,7,0,32109,Demonstrations,485,54.498,-115.0035
02/17/2024,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30309,Demonstrations,485,54.498,-115.0035
02/24/2024,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30309,Demonstrations,485,54.498,-115.0035
03/02/2024,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22269,Demonstrations,485,54.498,-115.0035
03/09/2024,North America,Canada,Alberta,Protests,Peaceful protest,3,0,25767,Demonstrations,485,54.498,-115.0035
03/16/2024,North America,Canada,Alberta,Protests,Peaceful protest,3,0,12325,Demonstrations,485,54.498,-115.0035
03/23/2024,North America,Canada,Alberta,Protests,Peaceful protest,1,0,4285,Demonstrations,485,54.498,-115.0035
03/30/2024,North America,Canada,Alberta,Protests,Peaceful protest,8,0,41126,Demonstrations,485,54.498,-115.0035
04/06/2024,North America,Canada,Alberta,Protests,Peaceful protest,5,0,32797,Demonstrations,485,54.498,-115.0035
04/13/2024,North America,Canada,Alberta,Protests,Peaceful protest,3,0,11729,Demonstrations,485,54.498,-115.0035
04/20/2024,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30309,Demonstrations,485,54.498,-115.0035
04/27/2024,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30309,Demonstrations,485,54.498,-115.0035
05/04/2024,North America,Canada,Alberta,Protests,Peaceful protest,12,0,30810,Demonstrations,485,54.498,-115.0035
05/11/2024,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22269,Demonstrations,485,54.498,-115.0035
05/18/2024,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22269,Demonstrations,485,54.498,-115.0035
05/25/2024,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30309,Demonstrations,485,54.498,-115.0035
06/01/2024,North America,Canada,Alberta,Protests,Peaceful protest,2,0,9528,Demonstrations,485,54.498,-115.0035
06/08/2024,North America,Canada,Alberta,Protests,Peaceful protest,2,0,9528,Demonstrations,485,54.498,-115.0035
06/15/2024,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22269,Demonstrations,485,54.498,-115.0035
06/22/2024,North America,Canada,Alberta,Protests,Peaceful protest,3,0,24048,Demonstrations,485,54.498,-115.0035
06/29/2024,North America,Canada,Alberta,Protests,Peaceful protest,4,0,16356,Demonstrations,485,54.498,-115.0035
07/06/2024,North America,Canada,Alberta,Protests,Peaceful protest,5,0,21590,Demonstrations,485,54.498,-115.0035
07/13/2024,North America,Canada,Alberta,Protests,Peaceful protest,7,0,22361,Demonstrations,485,54.498,-115.0035
07/20/2024,North America,Canada,Alberta,Protests,Peaceful protest,9,0,39036,Demonstrations,485,54.498,-115.0035
07/27/2024,North America,Canada,Alberta,Protests,Peaceful protest,7,0,33888,Demonstrations,485,54.498,-115.0035
08/03/2024,North America,Canada,Alberta,Protests,Peaceful protest,2,0,9867,Demonstrations,485,54.498,-115.0035
08/10/2024,North America,Canada,Alberta,Protests,Peaceful protest,1,0,1447,Demonstrations,485,54.498,-115.0035
